Collema furfuraceum
cetraria cepincola
degelia plumbea
evernia prunastri
evernia prunastri
leptogium lichenoides
leptogium saturninum
lobaria amplissima
lobaria virens
melanelixia glabratula
melanelixia subaurifera
melanohalea elegantula
melanohalea exasperata
melanohalea exasperatula
menegazzia terebrata
menegazzia terebrata
nephroma bellum
nephroma helveticum
nephroma laevigatum
nephroma resupinatum
parmelia saxatilis
parmelina pastillifera
parmelina quercina
parmelina tiliacea
parmotrema crinitum
peltigera praetextata
physcia aipolia
physcia biziana
physcia stellaris
physconia distorta
physconia venusta
platismatia glauca
sticta fulliginosa
sticta sylvatica
xanthoria parietina
xanthoria polycarpa
